"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"IDCC","InterDigital, Inc.","53.63","$1.67B","n/a","Miscellaneous","Multi-Sector Companies","https://old.nasdaq.com/symbol/idcc",
"TILE","Interface, Inc.","16.63","$971.74M","n/a","Consumer Durables","Home Furnishings","https://old.nasdaq.com/symbol/tile",
"INAP","Internap Corporation","2.38","$63.67M","1999","Technology","Computer Software: Programming, Data Processing","https://old.nasdaq.com/symbol/inap",
"IBOC","International Bancshares Corporation","40.96","$2.69B","n/a","Finance","Major Banks","https://old.nasdaq.com/symbol/iboc",
"IMXI","International Money Express, Inc.","15.32","$581.9M","2017","Miscellaneous","Business Services","https://old.nasdaq.com/symbol/imxi",
"IGLD","Internet Gold Golden Lines Ltd.","13","$3.64M","1999","Public Utilities","Telecommunications Equipment","https://old.nasdaq.com/symbol/igld",
"IDXG","Interpace Diagnostics Group, Inc.","0.77","$29.41M","n/a","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/idxg",
"XENT","Intersect ENT, Inc.","17.82","$560.84M","2014","Health Care","Medical/Dental Instruments","https://old.nasdaq.com/symbol/xent",
"IPLDP","Interstate Power and Light Company","26.06","$208.48M","n/a","Public Utilities","Power Generation","https://old.nasdaq.com/symbol/ipldp",
"IVAC","Intevac, Inc.","5.78","$132.94M","1995","Technology","Industrial Machinery/Components","https://old.nasdaq.com/symbol/ivac",
"INTL","INTL FCStone Inc.","40","$766.55M","n/a","Finance","Investment Bankers/Brokers/Service","https://old.nasdaq.com/symbol/intl",
"ITCI","Intra-Cellular Therapies Inc.","9.25","$510.35M","n/a","Health Care","Major Pharmaceuticals","https://old.nasdaq.com/symbol/itci",
"XON","Intrexon Corporation","5.08","$823.32M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://old.nasdaq.com/symbol/xon",
"IIN","IntriCon Corporation","20.68","$181.12M","n/a","Capital Goods","Electrical Products","https://old.nasdaq.com/symbol/iin",
"INTU","Intuit Inc.","257.5","$66.97B","1993","Technology","Computer Software: Prepackaged Software","https://old.nasdaq.com/symbol/intu",
"ISRG","Intuitive Surgical, Inc.","552.95","$63.73B","2000","Health Care","Industrial Specialties","https://old.nasdaq.com/symbol/isrg",
"PLW","Invesco 1-30 Laddered Treasury ETF","35.37","$187.46M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/plw",
"ADRA","Invesco BLDRS Asia 50 ADR Index Fund","31.78","$17.48M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adra",
"ADRD","Invesco BLDRS Developed Markets 100 ADR Index Fund","21.43","$31.07M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adrd",
"ADRE","Invesco BLDRS Emerging Markets 50 ADR Index Fund","40.33","$129.06M","n/a","n/a","n/a","https://old.nasdaq.com/symbol/adre",
